ALO Lidar Data on 20190701

UT (hour) for each column
  23.4000   23.5000   23.6000   23.7000   23.8000 
Altitudes (km) for each row
   80.000    80.500    81.000    81.500    82.000    82.500    83.000    83.500    84.000    84.500    85.000    85.500    86.000    86.500    87.000    87.500    88.000    88.500    89.000    89.500    90.000    90.500    91.000    91.500    92.000    92.500    93.000    93.500    94.000    94.500    95.000    95.500    96.000    96.500    97.000    97.500    98.000    98.500    99.000    99.500   100.000   100.500   101.000   101.500   102.000   102.500   103.000   103.500   104.000   104.500   105.000   105.500   106.000   106.500   107.000   107.500   108.000   108.500   109.000   109.500   110.000   110.500   111.000   111.500   112.000   112.500   113.000   113.500   114.000   114.500   115.000 

Na Density (cm^(-3))
  1.3261e+01   1.2967e+01   1.2286e+01   1.0580e+01   1.1989e+01 
  1.2099e+01   1.1805e+01   1.1033e+01   9.8751e+00   1.0835e+01 
  1.0741e+01   1.1054e+01   1.0153e+01   8.9057e+00   9.5993e+00 
  9.7982e+00   1.0135e+01   9.2848e+00   8.0399e+00   8.4801e+00 
  9.1214e+00   9.1091e+00   8.5915e+00   7.2744e+00   7.4418e+00 
  8.4721e+00   8.5309e+00   7.6171e+00   6.5123e+00   6.7416e+00 
  7.8639e+00   8.2659e+00   7.1265e+00   5.8895e+00   6.0326e+00 
  7.4771e+00   7.8097e+00   6.6485e+00   5.3884e+00   5.3037e+00 
  7.0502e+00   7.2163e+00   5.9347e+00   4.9322e+00   4.5861e+00 
  6.4094e+00   6.4841e+00   5.2396e+00   4.5060e+00   4.1807e+00 
  5.2559e+00   5.6109e+00   4.7029e+00   3.9168e+00   3.5285e+00 
  4.2875e+00   4.7095e+00   3.8614e+00   3.4881e+00   4.7535e+00 
  3.3978e+00   3.5604e+00   4.1000e+00   3.3920e+00   5.4030e+00 
  4.1687e+00   4.7273e+00   6.9825e+00   6.8084e+00   6.8084e+00 
  7.2981e+00   7.2981e+00  -9.9900e+02   7.8012e+00   7.8012e+00 
  6.0988e+00   6.0988e+00  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02   7.5376e+00   7.5376e+00  -9.9900e+02 
 -9.9900e+02  -9.9900e+02   5.6959e+00   5.6959e+00  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
 -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 

Temperature (K)
   180.91    182.98    181.28    178.75    183.04 
   179.46    178.10    179.42    176.33    180.59 
   185.65    181.93    179.99    178.97    180.31 
   193.26    188.27    184.20    180.58    179.40 
   195.87    193.37    188.91    183.87    183.85 
   194.31    193.64    190.80    188.01    187.30 
   192.92    190.04    189.81    189.90    187.71 
   190.73    187.60    188.49    187.56    187.06 
