He,O,N2,O2,Ar,TotMassDen,Tn,alt_km,lat,lon,hour,TotNumDen,potential_temperature
112282320000000.0,4.7815294e+17,1.0917934e+19,2.3986597e+18,1.1085638e+17,6.5494373e-07,190.46,99.5,-31.17,-70.81,2016-11-05 00:00:00,1.390571530232e+19,48437.23184696629
105639370000000.0,4.6996666e+17,9.9826915e+18,2.1720543e+18,1.0020253e+17,5.9851152e-07,191.4,100.0,-31.17,-70.81,2016-11-05 00:00:00,1.272502062937e+19,51203.02031548924
99493035000000.0,4.6045451e+17,9.1259844e+18,1.9658262e+18,9.0501549e+16,5.4684006e-07,192.47,100.5,-31.17,-70.81,2016-11-05 00:00:00,1.1642866152035e+19,51606.89920336236
93803956000000.0,4.4981852e+17,8.3418402e+18,1.7783527e+18,8.1680082e+16,4.9956628e-07,193.68,101.0,-31.17,-70.81,2016-11-05 00:00:00,1.0651785305956e+19,51708.538483392884
88535869000000.0,4.3825592e+17,7.6246986e+18,1.6081196e+18,7.3669418e+16,4.5635167e-07,195.02,101.5,-31.17,-70.81,2016-11-05 00:00:00,9.744832073869e+18,54735.3579606754
83654781000000.0,4.2595122e+17,6.9692962e+18,1.4537007e+18,6.6404494e+16,4.1687662e-07,196.5,102.0,-31.17,-70.81,2016-11-05 00:00:00,8.915436268781e+18,55339.7111834943
79129009000000.0,4.1307556e+17,6.3706935e+18,1.313759e+18,5.9824037e+16,3.8084085e-07,198.11,102.5,-31.17,-70.81,2016-11-05 00:00:00,8.157431226009e+18,56857.95100049264
74929093000000.0,3.9978384e+17,5.8242527e+18,1.1870454e+18,5.387043e+16,3.4796287e-07,199.86,103.0,-31.17,-70.81,2016-11-05 00:00:00,7.465027299093e+18,58096.472569331854
71027804000000.0,3.8621549e+17,5.3256495e+18,1.0723975e+18,4.8489824e+16,3.1798007e-07,201.75,103.5,-31.17,-70.81,2016-11-05 00:00:00,6.832823341804e+18,59511.44040310103
67400070000000.0,3.7249399e+17,4.8708585e+18,9.6873764e+17,4.3631989e+16,2.9064793e-07,203.78,104.0,-31.17,-70.81,2016-11-05 00:00:00,6.255789519069999e+18,59755.523681680366
64022985000000.0,3.5872797e+17,4.4561554e+18,8.7507182e+17,3.9250413e+16,2.6574045e-07,205.94,104.5,-31.17,-70.81,2016-11-05 00:00:00,5.729269625984999e+18,63833.63145406497
60875512000000.0,3.4501112e+17,4.0780925e+18,7.9048261e+17,3.530188e+16,2.4304813e-07,208.24,105.0,-31.17,-70.81,2016-11-05 00:00:00,5.248948985512e+18,61638.453720603364
57938501000000.0,3.3142318e+17,3.7334835e+18,7.1412669e+17,3.1746526e+16,2.2237769e-07,210.69,105.5,-31.17,-70.81,2016-11-05 00:00:00,4.810837834501e+18,66928.55493859421
55194549000000.0,3.1803171e+17,3.4194003e+18,6.452317e+17,2.8547615e+16,2.0355135e-07,213.27,106.0,-31.17,-70.81,2016-11-05 00:00:00,4.411266519549e+18,68420.12921414457
52627832000000.0,3.0489231e+17,3.1331494e+18,5.8308985e+17,2.5671374e+16,1.8640542e-07,216.0,106.5,-31.17,-70.81,2016-11-05 00:00:00,4.046855561832e+18,69377.50380312512
50224047000000.0,2.9205059e+17,2.8722608e+18,5.2705543e+17,2.3086856e+16,1.7079006e-07,218.88,107.0,-31.17,-70.81,2016-11-05 00:00:00,3.714503900047e+18,71932.71043722724
47970238000000.0,2.7954283e+17,2.6344749e+18,4.7653982e+17,2.0765748e+16,1.5656803e-07,221.91,107.5,-31.17,-70.81,2016-11-05 00:00:00,3.411371268238e+18,74044.05633468213
45854677000000.0,2.6739707e+17,2.4177183e+18,4.3100725e+17,1.8682163e+16,1.4361353e-07,225.08,108.0,-31.17,-70.81,2016-11-05 00:00:00,3.134850637677e+18,72606.53397816795
43866774000000.0,2.5563474e+17,2.2201038e+18,3.8997125e+17,1.6812569e+16,1.3181204e-07,228.41,108.5,-31.17,-70.81,2016-11-05 00:00:00,2.882566225774e+18,77327.81064177952
41996991000000.0,2.4427073e+17,2.0399043e+18,3.5298996e+17,1.513553e+16,1.210587e-07,231.9,109.0,-31.17,-70.81,2016-11-05 00:00:00,2.652342516991e+18,81011.75473566753
40236667000000.0,2.333148e+17,1.8755472e+18,3.1966332e+17,1.3631597e+16,1.1125822e-07,235.53,109.5,-31.17,-70.81,2016-11-05 00:00:00,2.442197153667e+18,79124.94651543736
38577988000000.0,2.2277272e+17,1.725601e+18,2.8962933e+17,1.2283159e+16,1.0232377e-07,239.33,110.0,-31.17,-70.81,2016-11-05 00:00:00,2.250324786988e+18,83950.93497449385
37013873000000.0,2.1264594e+17,1.5887605e+18,2.6256046e+17,1.1074267e+16,9.4176279e-08,243.28,110.5,-31.17,-70.81,2016-11-05 00:00:00,2.075078180873e+18,83829.90886738217
35537860000000.0,2.0293293e+17,1.4638371e+18,2.3816066e+17,9990515900000000.0,8.6743782e-08,247.4,111.0,-31.17,-70.81,2016-11-05 00:00:00,1.91495674376e+18,88648.47096433134
34144111000000.0,1.936296e+17,1.3497526e+18,2.1616306e+17,9018917000000000.0,7.9961005e-08,251.67,111.5,-31.17,-70.81,2016-11-05 00:00:00,1.768598321111e+18,91858.88077911899
32827293000000.0,1.8472979e+17,1.245525e+18,1.9632691e+17,8147775800000000.0,7.3768582e-08,256.11,112.0,-31.17,-70.81,2016-11-05 00:00:00,1.634762303093e+18,91280.42154525532
31582532000000.0,1.762257e+17,1.1502647e+18,1.7843555e+17,7366581300000000.0,6.8112733e-08,260.71,112.5,-31.17,-70.81,2016-11-05 00:00:00,1.512324113832e+18,93949.26049461242
30405403000000.0,1.681084e+17,1.0631635e+18,1.6229381e+17,6665894500000000.0,6.2944693e-08,265.46,113.0,-31.17,-70.81,2016-11-05 00:00:00,1.400262009903e+18,92499.19245850979
29291836000000.0,1.6036781e+17,9.8348745e+17,1.4772605e+17,6037236300000000.0,5.8220181e-08,270.38,113.5,-31.17,-70.81,2016-11-05 00:00:00,1.297647838136e+18,96916.68691570664
28238091000000.0,1.5299321e+17,9.1057134e+17,1.3457445e+17,5473021500000000.0,5.3899079e-08,275.45,114.0,-31.17,-70.81,2016-11-05 00:00:00,1.203640259591e+18,100419.26981495535
27240734000000.0,1.4597348e+17,8.4381181e+17,1.226971e+17,4966454800000000.0,4.994509e-08,280.68,114.5,-31.17,-70.81,2016-11-05 00:00:00,1.117476085534e+18,102656.28906463378
26296613000000.0,1.3929702e+17,7.8266069e+17,1.1196641e+17,4511449800000000.0,4.6325223e-08,286.06,115.0,-31.17,-70.81,2016-11-05 00:00:00,1.038461866413e+18,103726.72122297373
2090513700000000.0,3280030600000000.0,3.055559e+20,7.9769041e+19,3.6260145e+18,1.8680439e-05,197.17,80.0,-31.17,-70.81,2016-11-05 00:00:00,3.889563260443e+20,18191.66818225741
1930476000000000.0,4609882900000000.0,2.8169338e+20,7.3435458e+19,3.34063e+18,1.7215953e-05,196.59,80.5,-31.17,-70.81,2016-11-05 00:00:00,3.5847600835889994e+20,19373.60339781877
