He,O,N2,O2,Ar,Tn,alt_km,lat,lon,hour,potential_temperature
59321119000000.0,3.3216586e+17,3.6441411e+18,7.0333656e+17,3.0881034e+16,216.4,105.5,-31.17,-70.81,2016-10-31 00:00:00,0.004225329705318353
56751102000000.0,3.1963775e+17,3.3482559e+18,6.3778759e+17,2.7863935e+16,218.78,106.0,-31.17,-70.81,2016-10-31 00:00:00,0.0042219978449104315
54342179000000.0,3.0727505e+17,3.0776389e+18,5.784275e+17,2.5140542e+16,221.28,106.5,-31.17,-70.81,2016-10-31 00:00:00,0.00461008461028493
52080731000000.0,2.9512078e+17,2.8300679e+18,5.2467626e+17,2.2683206e+16,223.92,107.0,-31.17,-70.81,2016-10-31 00:00:00,0.004512549529792114
49954458000000.0,2.8321049e+17,2.6035168e+18,4.7600611e+17,2.0466707e+16,226.69,107.5,-31.17,-70.81,2016-10-31 00:00:00,0.0045917503558492116
47952219000000.0,2.7157252e+17,2.3961374e+18,4.3193789e+17,1.8468059e+16,229.61,108.0,-31.17,-70.81,2016-10-31 00:00:00,0.004662750318952508
46063956000000.0,2.6022939e+17,2.2062461e+18,3.9203651e+17,1.6666351e+16,232.68,108.5,-31.17,-70.81,2016-10-31 00:00:00,0.004879580266924456
44280576000000.0,2.491983e+17,2.0323105e+18,3.5590728e+17,1.5042566e+16,235.91,109.0,-31.17,-70.81,2016-10-31 00:00:00,0.0046971411321998615
42593853000000.0,2.3849149e+17,1.8729308e+18,3.2319172e+17,1.357941e+16,239.32,109.5,-31.17,-70.81,2016-10-31 00:00:00,0.005117328932581913
40996314000000.0,2.2811762e+17,1.7268363e+18,2.9356552e+17,1.2261209e+16,242.9,110.0,-31.17,-70.81,2016-10-31 00:00:00,0.0052707878181959015
39481382000000.0,2.1808284e+17,1.5928758e+18,2.6673573e+17,1.1073801e+16,246.68,110.5,-31.17,-70.81,2016-10-31 00:00:00,0.005318304238058636
38043763000000.0,2.0839625e+17,1.4700403e+18,2.4244346e+17,1.0004646e+16,250.65,111.0,-31.17,-70.81,2016-10-31 00:00:00,0.005114465609048804
36678828000000.0,1.9906476e+17,1.3574107e+18,2.2045378e+17,9042364300000000.0,254.82,111.5,-31.17,-70.81,2016-10-31 00:00:00,0.005697557641109015
35382285000000.0,1.9009173e+17,1.2541364e+18,2.0055132e+17,8176538100000000.0,259.19,112.0,-31.17,-70.81,2016-10-31 00:00:00,0.00566465138852286
34150212000000.0,1.8147792e+17,1.159436e+18,1.8253999e+17,7397683300000000.0,263.75,112.5,-31.17,-70.81,2016-10-31 00:00:00,0.005761285827710073
32979003000000.0,1.7322179e+17,1.0725896e+18,1.6624073e+17,6697168800000000.0,268.5,113.0,-31.17,-70.81,2016-10-31 00:00:00,0.005873114127535244
31865323000000.0,1.6531966e+17,9.9293555e+17,1.5149071e+17,6067160500000000.0,273.46,113.5,-31.17,-70.81,2016-10-31 00:00:00,0.005872919510985973
30806144000000.0,1.5776666e+17,9.1986799e+17,1.3814213e+17,5500571100000000.0,278.6,114.0,-31.17,-70.81,2016-10-31 00:00:00,0.006387704831249589
29798645000000.0,1.5055637e+17,8.5283022e+17,1.2606062e+17,4990983400000000.0,283.93,114.5,-31.17,-70.81,2016-10-31 00:00:00,0.006469500218157372
28840261000000.0,1.4368149e+17,7.9131364e+17,1.1512459e+17,4532610500000000.0,289.45,115.0,-31.17,-70.81,2016-10-31 00:00:00,0.006394936393805074
